ID_PROTOCOLO,CODIGOINVIMA,VERSION,FECHA_PROTOCOLO,FECHA_PREVISTA_TERMINACION,TITULO_CIENTIFICO_PROTOCOLO,TITULO_PUBLICO_PROTOCOLO,NRO_INVESTIGACION_PRIMARIA,FECHA_REGISTRO_OFICIAL_PRIMARIA,NRO_IDENTIFICACION_SECUNDARIA,FECHA_REGISTRO_OFICIAL_SECUNDARIO,PATROCINADOR,CRO,PAIS_DESARROLLA_ACTIVIDAD,FUENTE_FINANCIACION,ESPECIALIDAD_PROTOCOLO,TIPO_INVESTIGACION,CODIGOASIGNADOPATROCINADOR,MOLECULA_ESTUDIO,ORIGEN,ESTADO,ID_MEDICAMENTO,ID_DISPOSITIVOS
35,PI BM 971,5,2016-10-05,2020-01-04,Titulo y,Titulo y,253457,2016-10-05,8093,2016-10-05,BRISTOL MYERS SQUIBB PPD COLOMBIA S A S,CRO35,COLOMBIA,Fuente 35,Especialidda 35,Tipo 35,CA209168,Molecula 35,Origen 35,APROBADO,3926,
36,PI BM 990,7,2019-02-03,2020-02-06,Titulo x,Titulo x,578759,2019-02-03,23427,2019-02-03,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO36,COLOMBIA,Fuente 36,Especialidda 36,Tipo 36,IM101 550,Molecula 36,Origen 36,EN CURSO,3925,
37,PI BM 990,9,2019-02-20,2020-02-06,Titulo x8,Titulo x8,2345,2019-02-20,21316,2019-02-20,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO37,COLOMBIA,Fuente 37,Especialidda 37,Tipo 37,IM101 550,Molecula 37,Origen 37,APROBADO,3924,
38,PI BM 990,12,2019-09-06,2020-03-06,Titulo 8,Titulo 8,45648,2019-09-06,24528,2019-09-06,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO38,COLOMBIA,Fuente 38,Especialidda 38,Tipo 38,IM101 550,Molecula 38,Origen 38,APROBADO,3923,
39,PI BM 990,13,2018-10-26,2020-01-05,Titulo 9,Titulo 9,689700,2018-10-26,23316,2018-10-26,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO39,COLOMBIA,Fuente 39,Especialidda 39,Tipo 39,IM101 550,Molecula 39,Origen 39,APROBADO,3922,
40,PI BM 990,10,2014-08-22,2020-03-06,Titulo y,Titulo y,34435,2014-08-22,12325,2014-08-22,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO40,COLOMBIA,Fuente 40,Especialidda 40,Tipo 40,IM101 550,Molecula 40,Origen 40,APROBADO,3921,
41,PI BM 990,7,2015-01-20,2020-01-05,Titulo x,Titulo x,234237,2015-01-20,1233428,2015-01-20,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO41,COLOMBIA,Fuente 41,Especialidda 41,Tipo 41,IM101 550,Molecula 41,Origen 41,APROBADO,3920,
42,PI JC 953,5,2016-10-06,2020-01-05,Titulo x9,Titulo x9,657570,2016-10-06,436460,2016-10-06,JANSSEN RESEARCH Y DEVELOPMENT LLC QUINTILES COLOMBIA LTDA,CRO42,COLOMBIA,Fuente 42,Especialidda 42,Tipo 42,28431754DNE3001,Molecula 42,Origen 42,APROBADO,3919,
43,PI JC 953,10,2019-02-04,2020-02-07,Titulo 9,Titulo 9,324237,2019-02-04,688993,2019-02-04,JANSSEN RESEARCH Y DEVELOPMENT LLC QUINTILES COLOMBIA LTDA,CRO43,COLOMBIA,Fuente 43,Especialidda 43,Tipo 43,28431754DNE3001,Molecula 43,Origen 43,EN CURSO,3918,
44,PI JC 953,12,2019-02-21,2020-02-07,Titulo 10,Titulo 10,2345,2019-02-21,8094,2019-02-21,JANSSEN RESEARCH Y DEVELOPMENT LLC QUINTILES COLOMBIA LTDA,CRO44,COLOMBIA,Fuente 44,Especialidda 44,Tipo 44,28431754DNE3001,Molecula 44,Origen 44,EN CURSO,3917,
45,PI JR 930,5,2019-09-07,2020-03-07,Titulo y,Titulo y,216,2019-09-07,23428,2019-09-07,JANSSEN RESEARCH Y DEVELOPMENT PAREXEL INTERNACIONAL COLOMBIA S A S,CRO45,COLOMBIA,Fuente 45,Especialidda 45,Tipo 45,CNTO136ARA3004,Molecula 45,Origen 45,EN CURSO,3916,
46,PI JR 930,6,2018-10-27,2020-01-06,Titulo x,Titulo x,253458,2018-10-27,21317,2018-10-27,JANSSEN RESEARCH Y DEVELOPMENT PAREXEL INTERNACIONAL COLOMBIA S A S,CRO46,COLOMBIA,Fuente 46,Especialidda 46,Tipo 46,CNTO136ARA3004,Molecula 46,Origen 46,RECHAZADO,3915,
47,PI JR 930,8,2014-08-23,2020-03-07,Titulo x10,Titulo x10,578760,2014-08-23,24529,2014-08-23,JANSSEN RESEARCH Y DEVELOPMENT PAREXEL INTERNACIONAL COLOMBIA S A S,CRO47,COLOMBIA,Fuente 47,Especialidda 47,Tipo 47,CNTO136ARA3004,Molecula 47,Origen 47,APROBADO,3914,
48,PI JR 930,10,2015-01-21,2020-01-06,Titulo 10,Titulo 10,2346,2015-01-21,23317,2015-01-21,JANSSEN RESEARCH Y DEVELOPMENT PAREXEL INTERNACIONAL COLOMBIA S A S,CRO48,COLOMBIA,Fuente 48,Especialidda 48,Tipo 48,CNTO136ARA3004,Molecula 48,Origen 48,EN CURSO,3913,
49,PI LBI 989,13,2016-10-07,2020-01-06,Titulo 11,Titulo 11,45649,2016-10-07,12326,2016-10-07,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO49,COLOMBIA,Fuente 49,Especialidda 49,Tipo 49,1218 22,Molecula 49,Origen 49,APROBADO,3912,
50,PI LBI 989,14,2019-02-05,2020-02-08,Titulo y,Titulo y,689701,2019-02-05,1233429,2019-02-05,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO50,COLOMBIA,Fuente 50,Especialidda 50,Tipo 50,1218 22,Molecula 50,Origen 50,APROBADO,3911,
51,PI LBI 989,11,2019-02-22,2020-02-08,Titulo x,Titulo x,34436,2019-02-22,436461,2019-02-22,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO51,COLOMBIA,Fuente 51,Especialidda 51,Tipo 51,1218 22,Molecula 51,Origen 51,APROBADO,3910,
52,PI LBI 989,8,2019-09-08,2020-03-08,Titulo x11,Titulo x11,234238,2019-09-08,688994,2019-09-08,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO52,COLOMBIA,Fuente 52,Especialidda 52,Tipo 52,1218 22,Molecula 52,Origen 52,APROBADO,3909,
53,PI LBI 989,6,2018-10-28,2020-01-07,Titulo 11,Titulo 11,657571,2018-10-28,8095,2018-10-28,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO53,COLOMBIA,Fuente 53,Especialidda 53,Tipo 53,1218 22,Molecula 53,Origen 53,APROBADO,3908,
54,PI LBI 989,11,2014-08-24,2020-03-08,Titulo 12,Titulo 12,324238,2014-08-24,23429,2014-08-24,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO54,COLOMBIA,Fuente 54,Especialidda 54,Tipo 54,1218 22,Molecula 54,Origen 54,APROBADO,3907,
55,PI LBI 989,13,2015-01-22,2020-01-07,Titulo y,Titulo y,2346,2015-01-22,21318,2015-01-22,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO55,COLOMBIA,Fuente 55,Especialidda 55,Tipo 55,1218 22,Molecula 55,Origen 55,EN CURSO,3906,
56,PI LBI 989,6,2016-10-08,2020-01-07,Titulo x,Titulo x,217,2016-10-08,24530,2016-10-08,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO56,COLOMBIA,Fuente 56,Especialidda 56,Tipo 56,1218 22,Molecula 56,Origen 56,EN CURSO,3905,
57,PI LBI 989,7,2019-02-06,2020-02-09,Titulo x12,Titulo x12,253459,2019-02-06,23318,2019-02-06,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO57,COLOMBIA,Fuente 57,Especialidda 57,Tipo 57,1218 22,Molecula 57,Origen 57,EN CURSO,3904,
58,PI LBI 989,9,2019-02-23,2020-02-09,Titulo 12,Titulo 12,578761,2019-02-23,12327,2019-02-23,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO58,COLOMBIA,Fuente 58,Especialidda 58,Tipo 58,1218 22,Molecula 58,Origen 58,RECHAZADO,3903,
59,PI LBI 989,11,2019-09-09,2020-03-09,Titulo 13,Titulo 13,2347,2019-09-09,1233430,2019-09-09,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO59,COLOMBIA,Fuente 59,Especialidda 59,Tipo 59,1218 22,Molecula 59,Origen 59,APROBADO,3902,
60,PI LBI 989,14,2018-10-29,2020-01-08,Titulo y,Titulo y,45650,2018-10-29,436462,2018-10-29,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO60,COLOMBIA,Fuente 60,Especialidda 60,Tipo 60,1218 22,Molecula 60,Origen 60,EN CURSO,3901,
61,PI LBI 989,15,2014-08-25,2020-03-09,Titulo x,Titulo x,689702,2014-08-25,688995,2014-08-25,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO61,COLOMBIA,Fuente 61,Especialidda 61,Tipo 61,1218 22,Molecula 61,Origen 61,APROBADO,3900,
62,PI LBI 989,12,2015-01-23,2020-01-08,Titulo x13,Titulo x13,34437,2015-01-23,8096,2015-01-23,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO62,COLOMBIA,Fuente 62,Especialidda 62,Tipo 62,1218 22,Molecula 62,Origen 62,APROBADO,3899,
63,PI LBI 989,9,2016-10-09,2020-01-08,Titulo 13,Titulo 13,234239,2016-10-09,23430,2016-10-09,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO63,COLOMBIA,Fuente 63,Especialidda 63,Tipo 63,1218 22,Molecula 63,Origen 63,APROBADO,3898,
64,PI LBI 989,7,2019-02-07,2020-02-10,Titulo 14,Titulo 14,657572,2019-02-07,21319,2019-02-07,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO64,COLOMBIA,Fuente 64,Especialidda 64,Tipo 64,1218 22,Molecula 64,Origen 64,APROBADO,3897,
65,PI LBI 989,12,2019-02-24,2020-02-10,Titulo y,Titulo y,324239,2019-02-24,24531,2019-02-24,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO65,COLOMBIA,Fuente 65,Especialidda 65,Tipo 65,1218 22,Molecula 65,Origen 65,APROBADO,3896,
66,PI LBI 989,14,2019-09-10,2020-03-10,Titulo x,Titulo x,2347,2019-09-10,23319,2019-09-10,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO66,COLOMBIA,Fuente 66,Especialidda 66,Tipo 66,1218 22,Molecula 66,Origen 66,APROBADO,3895,
67,PI LBI 989,7,2018-10-30,2020-01-09,Titulo x14,Titulo x14,218,2018-10-30,12328,2018-10-30,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO67,COLOMBIA,Fuente 67,Especialidda 67,Tipo 67,1218 22,Molecula 67,Origen 67,EN CURSO,3894,
68,PI LBI 989,8,2014-08-26,2020-03-10,Titulo 14,Titulo 14,253460,2014-08-26,1233431,2014-08-26,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO68,COLOMBIA,Fuente 68,Especialidda 68,Tipo 68,1218 22,Molecula 68,Origen 68,EN CURSO,3893,
69,PI LBI 989,10,2015-01-24,2020-01-09,Titulo 15,Titulo 15,578762,2015-01-24,436463,2015-01-24,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO69,COLOMBIA,Fuente 69,Especialidda 69,Tipo 69,1218 22,Molecula 69,Origen 69,EN CURSO,3892,
70,PI LBI 989,12,2016-10-10,2020-01-09,Titulo y,Titulo y,2348,2016-10-10,688996,2016-10-10,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO70,COLOMBIA,Fuente 70,Especialidda 70,Tipo 70,1218 22,Molecula 70,Origen 70,RECHAZADO,3891,
71,PI MP 969,15,2019-02-08,2020-02-11,Titulo x,Titulo x,45651,2019-02-08,8097,2019-02-08,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO71,COLOMBIA,Fuente 71,Especialidda 71,Tipo 71,C16021,Molecula 71,Origen 71,APROBADO,3890,
72,PI MP 969,16,2019-02-25,2020-02-11,Titulo x15,Titulo x15,689703,2019-02-25,23431,2019-02-25,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO72,COLOMBIA,Fuente 72,Especialidda 72,Tipo 72,C16021,Molecula 72,Origen 72,EN CURSO,3889,
73,PI MP 969,13,2019-09-11,2020-03-11,Titulo 15,Titulo 15,34438,2019-09-11,21320,2019-09-11,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO73,COLOMBIA,Fuente 73,Especialidda 73,Tipo 73,C16021,Molecula 73,Origen 73,APROBADO,3888,
74,PI MP 969,10,2018-10-31,2020-01-10,Titulo 16,Titulo 16,234240,2018-10-31,24532,2018-10-31,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO74,COLOMBIA,Fuente 74,Especialidda 74,Tipo 74,C16021,Molecula 74,Origen 74,APROBADO,3887,
75,PI MP 969,8,2014-08-27,2020-03-11,Titulo y,Titulo y,657573,2014-08-27,23320,2014-08-27,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO75,COLOMBIA,Fuente 75,Especialidda 75,Tipo 75,C16021,Molecula 75,Origen 75,APROBADO,3886,
76,PI MP 969,13,2015-01-25,2020-01-10,Titulo x,Titulo x,324240,2015-01-25,12329,2015-01-25,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO76,COLOMBIA,Fuente 76,Especialidda 76,Tipo 76,C16021,Molecula 76,Origen 76,APROBADO,3885,
77,PI MP 969,15,2016-10-11,2020-01-10,Titulo x16,Titulo x16,2348,2016-10-11,1233432,2016-10-11,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO77,COLOMBIA,Fuente 77,Especialidda 77,Tipo 77,C16021,Molecula 77,Origen 77,APROBADO,3884,
78,PI MP 969,8,2019-02-09,2020-02-12,Titulo 16,Titulo 16,219,2019-02-09,436464,2019-02-09,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO78,COLOMBIA,Fuente 78,Especialidda 78,Tipo 78,C16021,Molecula 78,Origen 78,APROBADO,3883,
79,PI MP 969,9,2019-02-26,2020-02-12,Titulo 17,Titulo 17,253461,2019-02-26,688997,2019-02-26,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO79,COLOMBIA,Fuente 79,Especialidda 79,Tipo 79,C16021,Molecula 79,Origen 79,EN CURSO,3882,
80,PI MS 1002,11,2019-09-12,2020-03-12,Titulo y,Titulo y,578763,2019-09-12,8098,2019-09-12,MERCK SHARP Y DOHME COLOMBIA S A S,CRO80,COLOMBIA,Fuente 80,Especialidda 80,Tipo 80,MK0517 044,Molecula 80,Origen 80,EN CURSO,3881,
81,PI MS 1002,13,2018-11-01,2020-01-11,Titulo x,Titulo x,2349,2018-11-01,23432,2018-11-01,MERCK SHARP Y DOHME COLOMBIA S A S,CRO81,COLOMBIA,Fuente 81,Especialidda 81,Tipo 81,MK0517 044,Molecula 81,Origen 81,EN CURSO,3880,
82,PI MS 1002,16,2014-08-28,2020-03-12,Titulo x17,Titulo x17,45652,2014-08-28,21321,2014-08-28,MERCK SHARP Y DOHME COLOMBIA S A S,CRO82,COLOMBIA,Fuente 82,Especialidda 82,Tipo 82,MK0517 044,Molecula 82,Origen 82,RECHAZADO,3879,
83,PI MS 1002,17,2015-01-26,2020-01-11,Titulo 17,Titulo 17,689704,2015-01-26,24533,2015-01-26,MERCK SHARP Y DOHME COLOMBIA S A S,CRO83,COLOMBIA,Fuente 83,Especialidda 83,Tipo 83,MK0517 044,Molecula 83,Origen 83,APROBADO,3878,
84,PI MS 1002,14,2016-10-12,2020-01-11,Titulo 18,Titulo 18,34439,2016-10-12,23321,2016-10-12,MERCK SHARP Y DOHME COLOMBIA S A S,CRO84,COLOMBIA,Fuente 84,Especialidda 84,Tipo 84,MK0517 044,Molecula 84,Origen 84,EN CURSO,3877,
85,PI MS 1002,11,2019-02-10,2020-02-13,Titulo y,Titulo y,234241,2019-02-10,12330,2019-02-10,MERCK SHARP Y DOHME COLOMBIA S A S,CRO85,COLOMBIA,Fuente 85,Especialidda 85,Tipo 85,MK0517 044,Molecula 85,Origen 85,APROBADO,3876,
